artist_name,listeners,weighted_coverage,jaccard,tour_coverage,streaming_reach,n_streaming,n_tour_countries,n_aligned,top_streaming_country
A$AP Rocky,3389842,0.4884723834798474,0.3125,0.45454545454545453,0.5,10,11,5,United Kingdom
Addison Rae,1486740,1.0,1.0,1.0,1.0,1,1,1,Ireland
Arctic Monkeys,7015740,0.0,0.0,0.0,0.0,10,1,0,United Kingdom
Ariana Grande,4406075,0.15394481684506267,0.08333333333333333,0.3333333333333333,0.1,10,3,1,United Kingdom
BTS,2316882,0.7078112985661947,0.1111111111111111,0.14285714285714285,0.3333333333333333,3,7,1,Mexico
Baby Keem,1987315,0.8230021187591677,0.1111111111111111,0.16666666666666666,0.25,4,6,1,Canada
Bad Bunny,2475994,0.44594308311559916,0.35714285714285715,0.5555555555555556,0.5,10,9,5,Mexico
Black Eyed Peas,5654716,0.0,0.0,0.0,0.0,2,1,0,Germany
Bring Me the Horizon,2789482,0.0,0.0,0.0,0.0,1,5,0,Czech Republic
Britney Spears,6372536,0.0,0.0,0.0,0.0,7,1,0,Germany
Bruno Mars,5149729,0.8446379225498731,0.7272727272727273,0.8888888888888888,0.8,10,9,8,United Kingdom
Calvin Harris,4941812,0.0338151816075759,0.08333333333333333,0.3333333333333333,0.1,10,3,1,United Kingdom
Charli xcx,3704686,0.0,0.0,0.0,0.0,10,2,0,United Kingdom
Childish Gambino,3744860,0.0,0.0,0.0,0.0,10,1,0,United Kingdom
Coldplay,9019488,0.0,0.0,0.0,0.0,10,1,0,United Kingdom
Daft Punk,6249715,0.0,0.0,0.0,0.0,5,1,0,Mexico
Daniel Caesar,2302276,0.0,0.0,0.0,0.0,4,1,0,Canada
David Guetta,5160920,0.0,0.0,0.0,0.0,10,2,0,Germany
Deftones,4165017,0.06406988964792433,0.15384615384615385,0.4,0.2,10,5,2,United Kingdom
Doja Cat,3560361,0.20702559012447092,0.125,0.25,0.2,10,8,2,United Kingdom
Dominic Fike,2334593,0.0,0.0,0.0,0.0,10,2,0,Australia
Don Toliver,2440803,0.289565497830421,0.08333333333333333,0.3333333333333333,0.1,10,3,1,Canada
Drake,6646671,0.0,0.0,0.0,0.0,10,1,0,United Kingdom
Eminem,7726026,0.0,0.0,0.0,0.0,10,1,0,Germany
EsDeeKid,875817,0.0,0.0,0.0,0.0,3,4,0,Turkey
Fleetwood Mac,4808547,0.12914505802658918,0.09090909090909091,0.5,0.1,10,2,1,United Kingdom
Fontaines D.C.,1068219,0.0,0.0,0.0,0.0,2,2,0,United Kingdom
Future,3171840,0.0,0.0,0.0,0.0,10,1,0,Canada
Gorillaz,6779023,0.16262624887703156,0.13333333333333333,0.2857142857142857,0.2,10,7,2,United Kingdom
Harry Styles,3197410,0.7803977171180403,0.3333333333333333,0.6666666666666666,0.4,10,6,4,United Kingdom
IVE,1025917,1.0,0.5,0.5,1.0,1,2,1,Singapore
J Balvin,1805392,0.6178076650824148,0.25,0.5,0.3333333333333333,3,2,1,Mexico
J. Cole,3807253,0.9655085067758686,0.42857142857142855,0.46153846153846156,0.8571428571428571,7,13,6,Canada
Joji,2956634,0.515625,0.0625,0.08333333333333333,0.2,5,12,1,Canada
KATSEYE,1479403,0.0,0.0,0.0,0.0,1,1,0,Peru
Kali Uchis,3011779,0.0,0.0,0.0,0.0,2,1,0,Mexico
Katy Perry,7048299,0.0,0.0,0.0,0.0,4,3,0,Germany
Lady Gaga,7632370,0.13556038397115508,0.09090909090909091,0.5,0.1,10,2,1,United Kingdom
Laufey,2268345,0.120907250863198,0.16666666666666666,0.25,0.3333333333333333,3,4,1,Canada
Limp Bizkit,4078832,0.0,0.0,0.0,0.0,1,5,0,Czech Republic
Linkin Park,6856669,0.2561010890004753,0.2,0.375,0.3,10,8,3,United Kingdom
Lorde,3672072,0.0,0.0,0.0,0.0,4,8,0,United Kingdom
Mac DeMarco,3198917,0.0,0.0,0.0,0.0,1,6,0,United Arab Emirates
Mac Miller,3466486,0.0,0.0,0.0,0.0,9,1,0,Canada
Madonna,5520985,0.0,0.0,0.0,0.0,2,1,0,Poland
Malcolm Todd,1128902,0.0,0.0,0.0,0.0,2,1,0,Singapore
Maroon 5,6564586,0.0,0.0,0.0,0.0,4,3,0,Singapore
Metro Boomin,2441400,0.0,0.0,0.0,0.0,1,1,0,United Arab Emirates
Mitski,3201407,0.042812318630296,0.07142857142857142,0.2,0.1,10,5,1,United Kingdom
Muse,6326491,0.0,0.0,0.0,0.0,1,1,0,Netherlands
Nirvana,7457169,0.0,0.0,0.0,0.0,8,1,0,United Kingdom
Olivia Dean,1335764,0.24377408637873754,0.38461538461538464,0.625,0.5,10,8,5,United Kingdom
Pink Floyd,5495214,0.0,0.0,0.0,0.0,2,1,0,Norway
PinkPantheress,2922490,0.3462967590530307,0.3076923076923077,0.5714285714285714,0.4,10,7,4,United Kingdom
Pitbull,4341486,1.0,0.2857142857142857,0.2857142857142857,1.0,4,14,4,Germany
Playboi Carti,2438179,0.3179054118454412,0.125,0.25,0.2,10,8,2,Canada
Post Malone,3483537,0.0,0.0,0.0,0.0,1,2,0,Denmark
Queen,7160666,0.0,0.0,0.0,0.0,7,1,0,Netherlands
RAYE,1797157,0.0,0.0,0.0,0.0,7,3,0,United Kingdom
ROSALÍA,1821645,1.0,0.2222222222222222,0.2222222222222222,1.0,2,9,2,Mexico
Radiohead,8149620,0.0,0.0,0.0,0.0,10,1,0,United Kingdom
Sean Paul,3140189,0.0,0.0,0.0,0.0,1,5,0,Germany
System of a Down,5761070,0.0,0.0,0.0,0.0,2,6,0,Finland
TV Girl,2784803,0.0,0.0,0.0,0.0,5,2,0,United Kingdom
TWICE,1869503,0.0,0.0,0.0,0.0,2,6,0,Peru
Tame Impala,4217192,0.296497796627017,0.17647058823529413,0.3,0.3,10,10,3,United Kingdom
Tate McRae,2217123,0.0,0.0,0.0,0.0,10,1,0,Australia
The Beatles,6445190,0.056875053015522946,0.125,0.5,0.14285714285714285,7,2,1,United Kingdom
The Cure,5427832,0.3232301872606377,0.6666666666666666,0.8,0.8,5,5,4,United Kingdom
The Neighbourhood,3887320,0.6759650934283716,0.3333333333333333,0.42857142857142855,0.6,10,14,6,Canada
The Smiths,4998810,0.0,0.0,0.0,0.0,10,1,0,United Kingdom
The Strokes,5651179,0.0,0.0,0.0,0.0,1,1,0,Peru
The Weeknd,5233527,0.3245875167181308,0.26666666666666666,0.4444444444444444,0.4,10,9,4,United Kingdom
Twenty One Pilots,3291476,0.12838354071163502,0.15384615384615385,0.4,0.2,10,5,2,United Kingdom
"Tyler, The Creator",4255100,0.1463001797483523,0.18181818181818182,0.6666666666666666,0.2,10,3,2,United Kingdom
V,906065,0.0,0.0,0.0,0.0,1,1,0,Peru
Yeat,1583135,0.22415219189412738,0.16666666666666666,0.5,0.2,5,2,1,Czech Republic
Zara Larsson,2185312,0.34409220111523586,0.25,0.4,0.4,10,10,4,United Kingdom
sombr,1741726,0.28737160563105374,0.2857142857142857,0.5,0.4,10,8,4,United Kingdom
